"","ID","Date","Price","Location"
"259","570132","4/8/2010","62500","Quarter: NW/4 Section: 22 Township: 36 Range: 16"
"260","570187","4/12/2010","280000","Section: 2 Township: 36 Range: 16 Subdivision: MILDRED ..."
"261","570223","4/13/2010","325000","Section: 2 Township: 36 Range: 16 Subdivision: MILDRED ..."
"262","570263","4/15/2010","238500","Quarter: NE/4 Section: 26 Township: 36 Range: 16 Subdiv..."
"263","570280","4/16/2010","135500","Quarter: NW/4 Section: 15 Township: 36 Range: 16"
"264","570313","4/21/2010","45000","Quarter: SW/4 Section: 33 Township: 36 Range: 15 Subdiv..."
"265","570429","4/23/2010","175000","Quarter: NE/4 Section: 17 Township: 36 Range: 15"
"266","570486","4/28/2010","325000","Quarter: NW/4 Section: 20 Township: 35 Range: 16"
"267","570532","4/30/2010","165000","Quarter: NW/4 Section: 24 Township: 36 Range: 16 Subdiv..."
"268","570540","4/30/2010","157500","Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv..."
"269","570554","5/1/2010","30000","Sixteenth: NW Quarter: SW/4 Section: 10 Township: 35 Ran..."
"270","570584","4/30/2010","306000","Quarter: NE/4 Section: 36 Township: 36 Range: 16"
"271","570598","5/4/2010","200000","Section: 9 Township: 36 Range: 13"
"272","570640","5/6/2010","75000","Section: 1 Township: 36 Range: 14"
"273","570782","5/14/2010","349900","Quarter: NE/4 Section: 20 Township: 36 Range: 16"
"274","570785","5/14/2010","38000","Quarter: SW Section: 33 Township: 36 Range: 15 Subdivis..."
"275","570792","5/14/2010","150000","Sixteenth: NW Quarter: NW Section: 35 Township: 36 Range..."
"276","570863","5/17/2010","265000","Quarter: SE/4 Section: 29 Township: 36 Range: 13 Subdiv..."
"277","570865","5/17/2010","234200","Quarter: NE/4 Section: 24 Township: 36 Range: 16 Subdiv..."
"278","571031","5/27/2010","182700","Section: 34 Township: 36 Range: 18"
"279","571039","5/27/2010","90000","Quarter: SW/4 Section: 18 Township: 36 Range: 15 Subdiv..."
"280","571050","4/30/2010","198000","Quarter: NE Section: 30 Township: 38 Range: 17 Subdivis..."
"281","571060","6/1/2010","100000","Quarter: SW/4 Section: 18 Township: 36 Range: 15 Subdiv..."
"282","571131","5/27/2010","157000","Section: 9 Township: 36 Range: 15 Subdivision: NOLAND P..."
"283","571202","6/10/2010","64500","Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv..."
"284","571290","6/15/2010","55900","Quarter: SW Section: 15 Township: 36 Range: 15 Subdivis..."
"285","571403","6/21/2010","150000","Section: 27 Township: 37 Range: 14 Subdivision: SUMMIT ..."
"286","571438","6/4/2010","86900","Quarter: NW/4 Section: 28 Township: 37 Range: 14 Subdiv..."
"287","571470","6/24/2010","110000","Quarter: SW/4 Section: 34 Township: 36 Range: 15"
"288","571482","6/24/2010","285000","Section: 5 Township: 35 Range: 13"
"289","571535","6/28/2010","200000","Subdivision: UTE MOUNTAIN RANCHES Lot: 11 Quarter: NW/4..."
"290","571596","6/30/2010","145700","Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv..."
"291","571663","7/7/2010","239500","Quarter: SE/4 Section: 17 Township: 36 Range: 15"
"292","571856","7/15/2010","158000","Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv..."
"293","571861","7/16/2010","165000","Section: 7 Township: 37 Range: 15 Subdivision: WINGSPRE..."
"294","571864","7/16/2010","154000","Quarter: SW/4 Section: 33 Township: 36 Range: 15 Subdiv..."
"295","571867","7/16/2010","140000","Quarter: NW/4 Section: 32 Township: 37 Range: 16"
"296","571959","7/23/2010","55000","Section: 2 Township: 353 Range: 14"
