ID,Date,Price,Location
564050,6/1/2009,"$299,800.00 ",Quarter: NE/4 Section: 26 Township: 36 Range: 16 Subdiv...
564153,6/4/2009,"$111,000.00 ",Quarter: NE/4 Section: 20 Township: 37 Range: 15 Subdiv...
564571,6/23/2009,"$56,500.00 ",Quarter: NW/4 Section: 28 Township: 36 Range: 13 Subdiv...
564611,6/26/2009,"$96,000.00 ",Quarter: NW/4 Section: 26 Township: 36 Range: 16 Subdiv...
564616,6/26/2009,"$72,000.00 ",Quarter: NE/4 Section: 15 Township: 36 Range: 16 Subdiv...
564826,7/1/2009,"$69,900.00 ",Quarter: NE/4 Section: 24 Township: 36 Range: 16 Subdiv...
564843,6/30/2009,"$250,000.00 ",Section: 9 Township: 36 Range: 15 Subdivision: HIGHLINE...
564888,7/6/2009,"$121,500.00 ",Section: 9 Township: 36 Range: 15 Subdivision: HIGHLINE...
564986,7/10/2009,"$250,000.00 ",Section: 5 Township: 35 Range: 16 Subdivision: VALLEY V...
565083,7/14/2009,"$350,000.00 ",Quarter: NE/4 Section: 27 Township: 39 Range: 18
565165,7/16/2009,"$147,500.00 ",Quarter: SW/4 Section: 19 Township: 36 Range: 15
565166,7/17/2009,"$300,000.00 ",Quarter: NW/4 Section: 13 Township: 36 Range: 13
565223,7/17/2009,"$430,000.00 ",Quarter: NW/4 Section: 27 Township: 36 Range: 14 Subdiv...
565323,7/23/2009,"$162,400.00 ",Quarter: NW/4 Section: 30 Township: 36 Range: 15
565477,7/29/2009,"$80,000.00 ",Quarter: SE/4 Section: 15 Township: 36 Range: 16
565484,7/30/2009,"$260,000.00 ",Section: 1 Township: 34 Range: 17
565488,7/30/2009,"$200,000.00 ",Quarter: SE/4 Section: 34 Township: 37 Range: 14
565489,7/30/2009,"$245,000.00 ",Quarter: NE/4 Section: 26 Township: 36 Range: 16 Subdiv...
565511,7/31/2009,"$162,400.00 ",Section: 26 Township: 36 Range: 16
565836,8/11/2009,"$175,000.00 ",Section: 1 Township: 36 Range: 14 Subdivision: SHILO Lo...
565865,8/14/2009,"$225,000.00 ",Quarter: SW/4 Section: 28 Township: 36 Range: 13 Subdiv...
566019,8/19/2009,"$160,800.00 ",Section: 10 Township: 36 Range: 13
566333,8/28/2009,"$100,000.00 ",Section: 3 Township: 35 Range: 16
566340,9/4/2009,"$169,000.00 ",Section: 7 Township: 37 Range: 16
