"","SiteID","symbol","N","mean","sd","se"
"371","IM","PHRE9",2,0,0,0
"372","IM","PIDE4",2,0,0,0
"373","IM","PIED",2,0,0,0
"374","IM","PLJA",2,7,2.35702260395516,1.66666666666667
"375","IM","PLPA2",2,0,0,0
"376","IM","POFE",2,0,0,0
"377","IM","S",2,0,0,0
"378","IM","SATR12",2,1,1.4142135623731,1
"379","IM","SAUU3",2,0,0,0
"380","IM","SAVE4",2,0,0,0
"381","IM","SCLI",2,0,0,0
"382","IM","SPCO",2,0.666666666666665,0.942809041582061,0.666666666666665
"383","IM","SPCR",2,0,0,0
"384","IM","THAU3",2,0,0,0
"385","IM","TOAN",2,0,0,0
"386","IM","TRDU",2,0,0,0
"387","IM","UNKM",2,0,0,0
"388","IM","UNKSEEDLING",2,0,0,0
"389","IM","VUOC",2,0,0,0
"390","IM","WL",2,2.33333333333333,3.29983164553722,2.33333333333333
"391","SS","ACHY",2,0,0,0
"392","SS","ADLE",2,0,0,0
"393","SS","AGCR",2,0,0,0
"394","SS","ARFR4",2,0,0,0
"395","SS","ARNO4",2,0,0,0
"396","SS","ARPU9",2,0,0,0
"397","SS","ARTR2",2,18.3333333333333,4.24264068711928,3
"398","SS","ASAM5",2,0,0,0
"399","SS","ASTRA",2,0,0,0
"400","SS","ASTRA01",2,0,0,0
"401","SS","ASTRA2",2,0,0,0
"402","SS","ATCA2",2,0,0,0
"403","SS","ATCO",2,0,0,0
"404","SS","BOGR2",2,24.6666666666667,4.71404520791034,3.33333333333335
"405","SS","BRTE",2,0.333333333333333,0.471404520791032,0.333333333333333
"406","SS","BUNKF01",2,0,0,0
"407","SS","CHDE2",2,0,0,0
"408","SS","CHER2",2,0,0,0
"409","SS","CHVI8",2,0,0,0
"410","SS","COWRW",2,0,0,0
"411","SS","CRMI",2,0,0,0
"412","SS","DEPI",2,0,0,0
"413","SS","DRCU",2,0,0,0
"414","SS","ELEL5",2,2,2.82842712474619,2
"415","SS","ERCI6",2,0,0,0
"416","SS","ERCO27",2,0.666666666666667,0,0
"417","SS","ERIGE2",2,0,0,0
"418","SS","ERIGERON SP.",2,0,0,0
"419","SS","ERLE10",2,0,0,0
"420","SS","ERLO4",2,0,0,0
"421","SS","ERNA10",2,0,0,0
"422","SS","ERPU9",2,0,0,0
"423","SS","GUSA2",2,2.66666666666667,2.82842712474619,2
"424","SS","HECO26",2,0.666666666666665,0.942809041582061,0.666666666666665
"425","SS","HL",2,54,10.3708994574027,7.3333333333333
"426","SS","HYFI",2,0.333333333333333,0.471404520791032,0.333333333333333
"427","SS","IPPU4",2,0,0,0
"428","SS","IPRO",2,0.666666666666665,0.942809041582061,0.666666666666665
